bpm,prob
91,0
91,0
91,0
91,0
93,0
93,0
93,0
93,0
93,0
98,0
98,0
98,0
98,0
96,0
94,0
93,0
94,0
94,0
95,0
94,0
95,0
95,0
95,0
94,0
93,0
93,0
94,0
95,0
96,0
96,0
96,0
97,0
98,0
98,0
99,0
99,0
97,0
95,0
93,0
93,0
93,0
93,0
92,0
91,0
92,0
92,0
93,0
92,0
92,0
92,0
93,0
94,0
95,0
96,0
97,0
97,0
97,0
97,0
97,0
95,0
94,0
94,0
95,0
95,0
94,0
93,0
93,0
93,0
94,0
94,0
94,0
95,0
95,0
95,0
94,0
94,0
93,0
92,0
93,0
94,0
95,0
97,0
98,0
98,0
99,0
101,0
102,0
102,0
102,0
102,0
100,0
97,0
96,0
96,0
97,0
99,0
100,0
102,0
103,0
103,0
104,0
104,0
104,0
104,0
103,0
100,0
99,0
100,0
102,0
104,0
104,0
104,0
104,0
104,0
104,0
104,0
104,0
104,0
89,0
91,0
93,0
95,0
96,0
97,0
97,0
97,0
96,0
95,0
96,0
95,0
95,0
96,0
97,0
99,0
100,0
100,0
101,0
101,0
101,0
102,0
102,0
101,0
99,0
96,0
97,0
99,0
98,0
96,0
95,0
95,0
97,0
98,0
98,0
98,0
98,0
98,0
100,0
100,0
100,0
101,0
101,0
100,0
100,0
101,0
100,0
99,0
98,0
98,0
98,0
95,0
93,0
93,0
92,0
91,0
92,0
92,0
93,0
94,0
94,0
94,0
93,0
93,0
93,0
94,0
95,0
97,0
98,0
99,0
101,0
101,0
102,0
102,0
103,0
101,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
82,0.44047619
84,0
86,0
86,0
86,0
87,0
87,0
85,0
82,0.44047619
81,0.483890317
81,0.483890317
82,0.44047619
79,0.516109683
73,1
74,1
77,0.646712803
78,0.55952381
80,0.5
80,0.5
81,0.483890317
82,0.44047619
83,0.353287197
85,0
86,0
86,0
86,0
84,0
84,0
84,0
81,0.483890317
79,0.516109683
79,0.516109683
79,0.516109683
80,0.5
81,0.483890317
81,0.483890317
81,0.483890317
83,0.353287197
86,0
86,0
85,0
85,0
84,0
84,0
85,0
82,0.44047619
81,0.483890317
81,0.483890317
81,0.483890317
82,0.44047619
83,0.353287197
81,0.483890317
82,0.44047619
83,0.353287197
85,0
86,0
87,0
86,0
85,0
85,0
86,0
87,0
90,0
92,0
93,0
94,0
95,0
95,0
95,0
94,0
95,0
94,0
94,0
95,0
95,0
96,0
99,0
102,0
102,0
101,0
101,0
101,0
102,0
103,0
103,0
103,0
104,0
104,0
104,0
105,0
104,0
104,0
102,0
100,0
99,0
